Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Acumulado no ano
2023,"0,0053","0,0084","0,0071","0,0061","0,0023","-0,0008","0,0012","0,0023","0,0026",0,0,0,"0,035"
2022,"0,0054","0,0101","0,0162","0,0106","0,0047","0,0067","-0,0068","-0,0036","-0,0029","0,0059","0,0041","0,0062","0,0578"
2021,"0,0025","0,0086","0,0093","0,0031","0,0083","0,0053","0,0096","0,0087","0,0116","0,0125","0,0095","0,0073","0,1006"
2020,"0,0021","0,0025","0,0007","-0,0031","-0,0038","0,0026","0,0036","0,0024","0,0064","0,0086","0,0089","0,0135","0,0452"
2019,"0,0032","0,0043","0,0075","0,0057","0,0013","0,0001","0,0019","0,0011","-0,0004","0,001","0,0051","0,0115","0,0431"
2018,"0,0029","0,0032","0,0009","0,0022","0,004","0,0126","0,0033","-0,0009","0,0048","0,0045","-0,0021","0,0015","0,0375"
2017,"0,0038","0,0033","0,0025","0,0014","0,0031","-0,0023","0,0024","0,0019","0,0016","0,0042","0,0028","0,0044","0,0295"
2016,"0,0127","0,009","0,0043","0,0061","0,0078","0,0035","0,0052","0,0044","0,0008","0,0026","0,0018","0,003","0,0629"
2015,"0,0124","0,0122","0,0132","0,0071","0,0074","0,0079","0,0062","0,0022","0,0054","0,0082","0,0101","0,0096","0,1067"
2014,"0,0055","0,0069","0,0092","0,0067","0,0046","0,004","0,0001","0,0025","0,0057","0,0042","0,0051","0,0078","0,0641"
2013,"0,0086","0,006","0,0047","0,0055","0,0037","0,0026","0,0003","0,0024","0,0035","0,0057","0,0054","0,0092","0,0591"
2012,"0,0056","0,0045","0,0021","0,0064","0,0036","0,0008","0,0043","0,0041","0,0057","0,0059","0,006","0,0079","0,0584"
2011,"0,0083","0,008","0,0079","0,0077","0,0047","0,0015","0,0016","0,0037","0,0053","0,0043","0,0052","0,005","0,065"
2010,"0,0075","0,0078","0,0052","0,0057","0,0043",0,"0,0001","0,0004","0,0045","0,0075","0,0083","0,0063","0,0591"
2009,"0,0048","0,0055","0,002","0,0048","0,0047","0,0036","0,0024","0,0015","0,0024","0,0028","0,0041","0,0037","0,0431"
2008,"0,0054","0,0049","0,0048","0,0055","0,0079","0,0074","0,0053","0,0028","0,0026","0,0045","0,0036","0,0028","0,059"
2007,"0,0044","0,0044","0,0037","0,0025","0,0028","0,0028","0,0024","0,0047","0,0018","0,003","0,0038","0,0074","0,0446"
2006,"0,0059","0,0041","0,0043","0,0021","0,001","-0,0021","0,0019","0,0005","0,0021","0,0033","0,0031","0,0048","0,0314"
2005,"0,0058","0,0059","0,0061","0,0087","0,0049","-0,0002","0,0025","0,0017","0,0035","0,0075","0,0055","0,0036","0,0569"
2004,"0,0076","0,0061","0,0047","0,0037","0,0051","0,0071","0,0091","0,0069","0,0033","0,0044","0,0069","0,0086","0,076"
2003,"0,0225","0,0157","0,0123","0,0097","0,0061","-0,0015","0,002","0,0034","0,0078","0,0029","0,0034","0,0052","0,093"
2002,"0,0052","0,0036","0,006","0,008","0,0021","0,0042","0,0119","0,0065","0,0072","0,0131","0,0302","0,021","0,1253"
2001,"0,0057","0,0046","0,0038","0,0058","0,0041","0,0052","0,0133","0,007","0,0028","0,0083","0,0071","0,0065","0,0767"
2000,"0,0062","0,0013","0,0022","0,0042","0,0001","0,0023","0,0161","0,0131","0,0023","0,0014","0,0032","0,0059","0,0597"
1999,"0,007","0,0105","0,011","0,0056","0,003","0,0019","0,0109","0,0056","0,0031","0,0119","0,0095","0,006","0,0894"
1998,"0,0071","0,0046","0,0034","0,0024","0,005","0,0002","-0,0012","-0,0051","-0,0022","0,0002","-0,0012","0,0033","0,0166"
1997,"0,0118","0,005","0,0051","0,0088","0,0041","0,0054","0,0022","-0,0002","0,0006","0,0023","0,0017","0,0043","0,0522"
1996,"0,0134","0,0103","0,0035","0,0126","0,0122","0,0119","0,0111","0,0044","0,0015","0,003","0,0032","0,0047","0,0956"
1995,"0,017","0,0102","0,0155","0,0243","0,0267","0,0226","0,0236","0,0099","0,0099","0,0141","0,0147","0,0156","0,2241"
1994,"0,4131","0,4027","0,4275","0,4268","0,4403","0,4743","0,0684","0,0186","0,0153","0,0262","0,0281","0,0171","9,1643"
1993,"0,3035","0,2498","0,2726","0,2775","0,2769","0,3007","0,3072","0,3296","0,3569","0,3392","0,3556","0,3684","24,7715"
1992,"0,2594","0,2432","0,214","0,1993","0,2486","0,2021","0,2183","0,2214","0,2463","0,2524","0,2249","0,2524","11,1909"
1991,"0,2075","0,2072","0,1192","0,0499","0,0743","0,1119","0,1241","0,1563","0,1563","0,2023","0,2521","0,2371","4,7269"
1990,"0,6755","0,7573","0,8239","0,1552","0,0759","0,1175","0,1292","0,1288","0,1441","0,1436","0,1681","0,1844","16,2097"
1989,"0,3749","0,1678","0,0682","0,0833","0,1792","0,2865","0,2774","0,3371","0,3756","0,3977","0,4782","0,515","19,7291"
1988,"0,1889","0,157","0,176","0,1929","0,1742","0,22","0,2191","0,2159","0,2745","0,2562","0,2794","0,287","9,8022"
1987,"0,1321","0,1264","0,1637","0,191","0,2145","0,1971","0,0921","0,0487","0,0778","0,1122","0,1508","0,1415","3,6341"
1986,"0,1437","0,1272","0,0477","0,0078","0,014","0,0127","0,0171","0,0355","0,0172","0,019","0,0545","0,1165","0,7966"
1985,"0,1176","0,1087","0,1016","0,082","0,072","0,0849","0,1031","0,1205","0,1112","0,1062","0,1397","0,1507","2,4225"
1984,"0,0967","0,095","0,0894","0,0954","0,0905","0,1008","0,0972","0,0935","0,1175","0,1044","0,1053","0,1198","2,1528"
1983,"0,0864","0,0786","0,0734","0,0658","0,0648","0,0988","0,1008","0,0911","0,103","0,0887","0,0738","0,0868","1,64"
1982,"0,0697","0,0664","0,0571","0,0589","0,0666","0,071","0,0636","0,0597","0,0508","0,0444","0,0529","0,0781","1,048"
1981,"0,0684","0,064","0,0497","0,0646","0,0556","0,0552","0,0626","0,055","0,0526","0,0508","0,0527","0,0593","0,9565"
1980,"0,0662","0,0462","0,0604","0,0529","0,057","0,0531","0,0555","0,0495","0,0423","0,0948","0,0667","0,0661","0,9928"
